,Departamento,Municipio,Fuente,Victima,Agente,Año,Tipo_agresion
12688,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 162,1,Grupos Paramilitares,2004,
12689,Antioquia,San Francisco,Noche Y Niebla # 30 Pp. 161 Y 162,2,Guerrilla  ,2004,
12690,Valle Del Cauca,Florida,Noche Y Niebla # 30 Pp. 162,1,Guerrilla  ,2004,
12691,Valle Del Cauca,Bugalagrande,Noche Y Niebla # 30 Pp. 163,2,Grupo Armado No Identificado,2004,
12692,Magdalena,Santa Marta,Noche Y Niebla # 30 Pp. 162,1,Grupos Paramilitares,2004,
12693,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 162 Y 163,1,Grupos Paramilitares,2004,
12694,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 163,1,Grupos Paramilitares,2004,
12695,Valle Del Cauca,Guacarí,Noche Y Niebla # 30 Pp. 164,2,Grupo Armado No Identificado,2004,
12696,Bolivar,San Jacinto,Noche Y Niebla # 30 Pp. 164,1,Grupos Paramilitares,2004,
12697,Antioquia,Granada,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,1,Fuerza Pública,2004,
12698,Atlantico,Baranoa,Noche Y Niebla # 30 Pp. 164,1,Grupos Paramilitares,2004,
12699,Antioquia,Dabeiba,Noche Y Niebla # 30 Pp. 164,1,Guerrilla  ,2004,
12700,Arauca,Tame,Noche Y Niebla # 30 Pp. 165,1,Grupos Paramilitares,2004,
12701,Caqueta,Solano,Noche Y Niebla # 30 Pp. 165,1,Grupo Armado No Identificado,2004,
12702,Magdalena,Aracataca,Noche Y Niebla # 30 Pp. 165,1,Grupo Armado No Identificado,2004,
12703,Cauca,Santander De Quilichao,Noche Y Niebla # 30 Pp. 166,3,Grupos Paramilitares,2004,
12704,Tolima,Ibague,Noche Y Niebla # 30 Pp. 165,3,Grupos Paramilitares,2004,
12705,Cordoba,Montería,Noche Y Niebla # 30 Pp. 166,1,Grupo Armado No Identificado,2004,
12706,Atlantico,Luruaco,Noche Y Niebla # 30 Pp. 167,2,Grupo Armado No Identificado,2004,
12707,Huila,Neiva,Noche Y Niebla # 30 Pp. 167,1,Grupo Armado No Identificado,2004,
12708,Magdalena,Santa Marta,Noche Y Niebla # 30 Pp. 168,1,Desconocidos,2004,
12709,Antioquia,Medellín,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,1,Fuerza Pública,2004,
12710,Magdalena,Cienaga,Noche Y Niebla # 30 Pp. 169,1,Fuerza Pública,2004,
12711,Valle Del Cauca,Cali,Noche Y Niebla # 30 Pp. 169,1,Grupos Paramilitares,2004,
12712,Sucre,La Unión,Noche Y Niebla # 30 Pp. 170,2,Desconocidos,2004,
12713,Cauca,El Tambo,Noche Y Niebla # 30 Pp. 170,2,Grupo Armado No Identificado,2004,
12714,Huila,Pitalito,Noche Y Niebla # 30 Pp. 169 Y 170,1,Grupo Armado No Identificado,2004,
12715,Magdalena,Fundación,Noche Y Niebla # 30 Pp. 170,1,Guerrilla  ,2004,
12716,Antioquia,Anorí,Noche Y Niebla # 30 Pp. 170,2,Grupos Paramilitares,2004,
12717,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 170 Y 171,1,Grupos Paramilitares,2004,
12718,Guaviare,El Retorno,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,1,Grupos Paramilitares,2004,
12719,Antioquia,Apartadó,Noche Y Niebla # 30 Pp. 181,1,Grupos Paramilitares,2004,
12720,Caldas,Manizales,Noche Y Niebla # 30 Pp. 182,3,Grupos Paramilitares,2004,
12721,Caldas,Villa María,Noche Y Niebla # 30 Pp. 182,1,Grupos Paramilitares,2004,
12722,Cesar,Valledupar,Noche Y Niebla # 30 Pp. 182,1,Fuerza Pública,2004,
12723,Caldas,Samaná,Noche Y Niebla # 30 Pp. 183,1,Grupo Armado No Identificado,2004,
12724,Caldas,Samaná,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,1,Guerrilla  ,2004,
12725,Cesar,Pelaya,Noche Y Niebla # 30 Pp. 183,2,Grupos Paramilitares,2004,
12726,Huila,Colombia,Noche Y Niebla # 30 Pp. 183,1,Grupos Paramilitares,2004,
12727,Cesar,Valledupar,Noche Y Niebla # 30 Pp. 184,1,Grupo Armado No Identificado,2004,
12728,Meta,El Castillo,Noche Y Niebla # 30 Pp. 184,1,Grupos Paramilitares,2004,
12729,Sucre,Coloso,Noche Y Niebla # 30 Pp. 185,1,Fuerza Pública,2004,
12730,Boyaca,Muzo,Noche Y Niebla # 30 Pp. 185,1,Grupo Armado No Identificado,2004,
12731,Huila,Pitalito,Noche Y Niebla # 30 Pp. 185,1,Grupo Armado No Identificado,2004,
12732,Sucre,Los Palmitos,Noche Y Niebla # 30 Pp. 185,1,Grupo Armado No Identificado,2004,
12733,Antioquia,Medellín,Noche Y Niebla # 30 Pp. 184 Y 185,1,Grupos Paramilitares,2004,
12734,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 185,1,Grupos Paramilitares,2004,
12735,Sucre,Toluviejo,Noche Y Niebla # 30 Pp. 186,1,Desconocidos,2004,
12736,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 188,1,Desconocidos,2004,
12737,Boyaca,San Pablo De Borbur,Noche Y Niebla # 30 Pp. 187 Y 188,1,Grupo Armado No Identificado,2004,
12738,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 188,1,Grupos Paramilitares,2004,
12739,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 189,1,Grupos Paramilitares,2004,
12740,Caldas,Filadelfia,Noche Y Niebla # 30 Pp. 190,1,Desconocidos,2004,
12741,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 189,2,Grupos Paramilitares,2004,
12742,Valle Del Cauca,Dagua,Noche Y Niebla # 30 Pp. 190 Y 191,1,Fuerza Pública,2004,
12743,Cordoba,San Pelayo,Noche Y Niebla # 30 Pp. 190,1,Grupo Armado No Identificado,2004,
12744,Magdalena,Pueblo Viejo,Noche Y Niebla # 30 Pp. 190,2,Grupo Armado No Identificado,2004,
12745,Caldas,Manizales,Noche Y Niebla # 30 Pp. 190,1,Grupos Paramilitares,2004,
12746,Huila,Campoalegre,Noche Y Niebla # 30 Pp. 191,1,Grupo Armado No Identificado,2004,
12747,Atlantico,Barranquilla,Noche Y Niebla # 30 Pp. 191,1,Grupos Paramilitares,2004,
12748,Risaralda,Mistrató,Noche Y Niebla # 30 Pp. 191,1,Grupo Armado No Identificado,2004,
12749,Valle Del Cauca,Yumbo,Noche Y Niebla # 30 Pp. 192,1,Grupo Armado No Identificado,2004,
12750,Caldas,Manizales,Noche Y Niebla # 30 Pp. 193,1,Grupos Paramilitares,2004,
12751,Caldas,Pensilvania,Noche Y Niebla # 30 Pp. 193,1,Guerrilla  ,2004,
12752,Cauca,Totoró,Noche Y Niebla # 30 Pp. 193,1,Guerrilla  ,2004,
12753,Bogota,Bogotá D.C.,Noche Y Niebla # 30 Pp. 193,2,Grupos Paramilitares,2004,
12754,Meta,Uribe,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,1,Guerrilla  ,2004,
12755,Atlantico,Soledad,Noche Y Niebla # 30 Pp. 193 Y 194,1,Desconocidos,2004,
12756,Cesar,Curumaní,Noche Y Niebla # 30 Pp. 194,3,Grupos Paramilitares,2004,
12757,Caldas,Filadelfia,Noche Y Niebla # 30 Pp. 196,1,Grupo Armado No Identificado,2004,
12758,Cordoba,Montelíbano,Noche Y Niebla # 30 Pp. 195,1,Grupo Armado No Identificado,2004,
12759,Risaralda,Belén De Umbría,Noche Y Niebla # 30 Pp. 195 Y 196,2,Grupo Armado No Identificado,2004,
12760,Sucre,Ovejas,Noche Y Niebla # 30 Pp. 195,1,Grupo Armado No Identificado,2004,
12762,Caqueta,Puerto Rico,Noche Y Niebla # 30 Pp. 196,2,Grupo Armado No Identificado,2004,
12763,Sucre,Sincelejo,Noche Y Niebla # 30 Pp. 196,1,Grupo Armado No Identificado,2004,
12764,Arauca,Saravena,Noche Y Niebla # 30 Pp. 196,1,Grupos Paramilitares,2004,
12765,Huila,Neiva,Noche Y Niebla # 30 Pp. 197,1,Grupo Armado No Identificado,2004,
12766,Huila,Neiva,Noche Y Niebla # 30 Pp. 197,2,Grupo Armado No Identificado,2004,
12767,Tolima,Ibague,Noche Y Niebla # 30 Pp. 197,1,Grupo Armado No Identificado,2004,
12768,Vichada,Cumaribo,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,1,Fuerza Pública,2004,
12769,Quindio,Córdoba,Noche Y Niebla # 30 Pp. 199,1,Grupo Armado No Identificado,2004,
12770,Arauca,Saravena,Noche Y Niebla # 30 Pp. 199,1,Grupos Paramilitares,2004,
12771,Meta,Granada,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,1,Grupos Paramilitares,2004,
12772,Antioquia,San Francisco,Noche Y Niebla # 30 Pp. 199,1,Guerrilla  ,2004,
12773,Putumayo,San Miguel,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,2,Fuerza Pública,2004,
12774,Arauca,Saravena,Noche Y Niebla # 30 Pp. 201,1,Grupos Paramilitares,2004,
12775,Tolima,Chaparral,Noche Y Niebla # 30 Pp. 201,1,Guerrilla  ,2004,
12776,Antioquia,Yondó,Noche Y Niebla # 30 Pp. 202,1,Fuerza Pública,2004,
12777,Caldas,Villa María,Noche Y Niebla # 30 Pp. 202,1,Grupos Paramilitares,2004,
12778,Tolima,Icononzo,Noche Y Niebla # 30 Pp. 202,1,Grupos Paramilitares,2004,
